atr14,catalyst_score,close,company,entry_score,fundamental_score,industry,market_cap,pivot,rank,rr_ratio,rr_score,rs_rank,sector,stop_pct,t_count,target_pct,ticker,total_score,trend_score,tt_checks,tt_score,vcp,vcp_grade,vcp_score_raw
"6.13","45","199.64","Valero Energy Corporation","29","35","Oil & Gas Refining & Marketing","62018514944","206.77","256","3","100","50","Energy","6.14","4","18.43","VLO","52.9","72","[object Object]","9","[object Object]","D","32"
"2.56","30","43.57","Photronics, Inc.","34","40","Semiconductor Equipment & Materials","2573446400","45.4","257","3","100","50","Technology","8","3","24","PLAB","52.9","72","[object Object]","9","[object Object]","C","40"
"0.65","70","22.79","Myers Industries, Inc.","44","20","Packaging & Containers","852567744","23.14","258","2.47","70","50","Consumer Cyclical","5.69","4","14.09","MYE","52.9","72","[object Object]","9","[object Object]","D","32"
"18.01","45","594.41","Cummins Inc.","29","75","Specialty Industrial Machinery","82126921728","615.91","259","0.52","0","50","Industrials","6.06","4","3.17","CMI","52.9","72","[object Object]","9","[object Object]","D","32"
"13.05","50","376.69","Littelfuse, Inc.","44","20","Electronic Components","9380216832","380","260","3","100","50","Technology","6.93","4","20.78","LFUS","52.9","72","[object Object]","9","[object Object]","D","32"
"3.56","70","87.1","Protagonist Therapeutics, Inc.","50","15","Biotechnology","5445114368","89.59","261","2.19","70","50","Healthcare","8","4","17.49","PTGX","52.8","72","[object Object]","9","[object Object]","B","67"
"3.45","35","169.17","Pepsico, Inc.","46","45","Beverages - Non-Alcoholic","231312932864","171.48","262","0.18","0","72.7","Consumer Defensive","4.08","4","0.72","PEP","52.7","90","[object Object]","10","[object Object]","D","35"
"9.12","50","161.32","Sanmina Corporation","33","40","Electronic Components","8808860672","185.29","263","2.8","70","50","Technology","8","4","22.43","SANM","52.7","72","[object Object]","9","[object Object]","C","47"
"6.13","65","155.12","ICU Medical, Inc.","47","20","Medical Instruments & Supplies","3829394688","160.29","264","2.25","70","50","Healthcare","7.9","4","17.76","ICUI","52.7","72","[object Object]","9","[object Object]","B","62"
"2.58","30","99.49","Acushnet Holdings Corp.","33","40","Leisure","5836215296","104.81","265","3","100","50","Consumer Cyclical","5.19","4","15.58","GOLF","52.7","72","[object Object]","9","[object Object]","C","47"
"4.05","65","141.31","Popular, Inc.","24","50","Banks - Regional","9421824000","149.31","266","1.94","40","50","Financial Services","5.73","4","11.1","BPOP","52.6","72","[object Object]","9","[object Object]","D","32"
"6.65","35","307.36","CME Group Inc.","29","40","Financial Data & Stock Exchanges","110499733504","322.57","267","3","100","50","Financial Services","4.33","4","12.99","CME","52.6","72","[object Object]","9","[object Object]","D","32"
"4.66","40","128.1","StoneX Group Inc.","44","65","Capital Markets","6720550912","130.35","268","0.74","0","50","Financial Services","7.27","4","5.39","SNEX","52.6","72","[object Object]","9","[object Object]","D","32"
"1.22","80","18.08","Core Scientific, Inc.","45","0","Software - Infrastructure","5605908480","19.41","269","6.1","100","50","Technology","8","4","48.82","CORZ","52.6","72","[object Object]","9","[object Object]","B","67"
"0.9","65","40.93","CareTrust REIT, Inc.","44","50","REIT - Healthcare Facilities","9139682304","41.36","270","1.46","0","50","Real Estate","4.39","4","6.39","CTRE","52.6","72","[object Object]","9","[object Object]","D","32"
"5.12","70","170","Advanced Drainage Systems, Inc.","24","35","Building Products & Equipment","13242249216","179.32","271","2.66","70","50","Industrials","6.02","4","16","WMS","52.6","72","[object Object]","9","[object Object]","D","32"
"2.01","70","69.09","Hancock Whitney Corporation","24","35","Banks - Regional","5776829952","75.43","272","2.13","70","50","Financial Services","5.81","4","12.35","HWC","52.6","72","[object Object]","9","[object Object]","D","32"
"4.05","75","72.65","Tarsus Pharmaceuticals, Inc.","24","20","Biotechnology","3083927552","80","273","3.74","100","50","Healthcare","8","4","29.9","TARS","52.6","72","[object Object]","9","[object Object]","D","32"
"0.82","75","14.64","Enanta Pharmaceuticals, Inc.","36","10","Biotechnology","424843200","15.55","274","4.79","100","50","Healthcare","8","4","38.32","ENTA","52.5","72","[object Object]","9","[object Object]","C","52"
"2.22","80","43.88","Spyre Therapeutics, Inc.","32","10","Biotechnology","3446342400","45.76","275","4.19","100","50","Healthcare","8","4","33.48","SYRE","52.5","72","[object Object]","9","[object Object]","D","37"
"2.97","75","35.64","MBX Biosciences, Inc.","36","10","Biotechnology","1600318080","41.39","276","8.93","100","50","Healthcare","8","4","71.44","MBX","52.5","72","[object Object]","9","[object Object]","C","52"
"1.49","30","30.85","Viavi Solutions Inc.","57","20","Communication Equipment","7138361344","29.67","277","3","100","50","Technology","8","2","24","VIAV","52.5","72","[object Object]","9","[object Object]","C","54"
"1.48","80","18.99","Alto Neuroscience, Inc.","32","10","Biotechnology","589949696","19.91","278","8.07","100","50","Healthcare","8","3","64.56","ANRO","52.5","72","[object Object]","9","[object Object]","D","37"
"2.22","80","34.5","Tyra Biosciences, Inc.","32","10","Biotechnology","1841337344","35.71","279","5.36","100","50","Healthcare","8","3","42.87","TYRA","52.5","72","[object Object]","9","[object Object]","D","37"
"3.47","60","190.85","EastGroup Properties, Inc.","46","35","REIT - Industrial","10181618688","193.96","280","1.99","40","50","Real Estate","3.64","4","7.25","EGP","52.5","72","[object Object]","9","[object Object]","D","35"
"3.61","55","163.75","Cincinnati Financial Corporatio","26","70","Insurance - Property & Casualty","25548032000","174.27","281","1.37","0","50","Financial Services","4.41","4","6.06","CINF","52.5","72","[object Object]","9","[object Object]","D","35"
"2.73","40","86.02","ServisFirst Bancshares, Inc.","49","60","Banks - Regional","4698838528","89.07","282","1.09","0","50","Financial Services","6.35","4","6.95","SFBS","52.4","72","[object Object]","9","[object Object]","B","65"
"1.59","80","30.82","Celldex Therapeutics, Inc.","44","0","Biotechnology","2047972736","31","283","9.46","100","50","Healthcare","8","4","75.67","CLDX","52.4","72","[object Object]","9","[object Object]","D","32"
"15.56","55","395.61","Carpenter Technology Corporatio","44","55","Metal Fabrication","19708823552","399.2","284","0.29","0","50","Industrials","7.87","4","2.27","CRS","52.4","72","[object Object]","9","[object Object]","D","32"
"6.5","30","200.13","Coca-Cola Consolidated, Inc.","44","30","Beverages - Non-Alcoholic","13331454976","200.92","285","3","100","50","Consumer Defensive","6.5","4","19.49","COKE","52.4","72","[object Object]","9","[object Object]","D","32"
"1.79","30","67.34","Avnet, Inc.","44","30","Electronics & Computer Distribution","5512651776","68.29","286","3","100","50","Technology","5.31","4","15.92","AVT","52.4","72","[object Object]","9","[object Object]","D","32"
"4.75","60","195.98","RTX Corporation","24","40","Aerospace & Defense","263061520384","206.36","287","2.2","70","50","Industrials","4.85","4","10.69","RTX","52.4","72","[object Object]","9","[object Object]","D","32"
"0.81","60","16.03","Sally Beauty Holdings, Inc. (Na","24","40","Specialty Retail","1575212032","17.92","288","2.16","70","50","Consumer Cyclical","8","4","17.28","SBH","52.4","72","[object Object]","9","[object Object]","D","32"
"0.23","45","11.29","AGNC Investment Corp.","33","70","REIT - Mortgage","12504804352","12.07","289","1.04","0","50","Real Estate","4.15","4","4.32","AGNC","52.4","72","[object Object]","9","[object Object]","C","47"
"1.3","70","44.76","APi Group Corporation","29","30","Engineering & Construction","19297292288","46.89","290","2.09","70","50","Industrials","5.79","4","12.11","APG","52.4","72","[object Object]","9","[object Object]","D","32"
"11.75","70","225.22","Onto Innovation Inc.","41","20","Semiconductor Equipment & Materials","11182834688","232.49","291","2.25","70","50","Technology","8","4","17.98","ONTO","52.3","72","[object Object]","9","[object Object]","C","52"
"1.58","35","69.62","NorthWestern Energy Group, Inc.","40","30","Utilities - Regulated Electric","4277704960","71.26","292","3","100","50","Utilities","4.55","4","13.64","NWE","52.3","72","[object Object]","9","[object Object]","C","50"
"11.93","65","287.44","Royal Gold, Inc.","41","35","Gold","24259379200","294.5","293","1.8","40","50","Basic Materials","8","4","14.4","RGLD","52.3","72","[object Object]","9","[object Object]","C","52"
"3.5","70","108.62","Mirum Pharmaceuticals, Inc.","56","20","Biotechnology","6504161280","109.28","294","1.7","40","50","Healthcare","6.45","3","10.98","MIRM","52.3","72","[object Object]","9","[object Object]","C","52"
"0.12","30","10.98","Western Asset Emerging Markets ","31","40","Asset Management","638272256","11.23","295","3","100","50","Financial Services","2.1","4","6.31","EMD","52.3","72","[object Object]","9","[object Object]","D","35"
"4.88","45","58.12","Applied Optoelectronics, Inc.","45","20","Communication Equipment","3968427008","56.61","296","3","100","50","Technology","8","2","24","AAOI","52.3","72","[object Object]","9","[object Object]","D","34"
"0.22","35","72.8","Avidity Biosciences, Inc.","77","0","Biotechnology","11246061568","73.06","297","4.18","100","50","Healthcare","0.6","4","2.52","RNA","52.2","72","[object Object]","9","[object Object]","A","87"
"21.18","65","290.95","Western Digital Corporation","48","45","Computer Hardware","99475603456","309.9","298","1.29","0","50","Technology","8","2","10.33","WDC","52.2","72","[object Object]","9","[object Object]","B","72"
"10.29","50","253.37","MACOM Technology Solutions Hold","47","55","Semiconductors","19005782016","256.12","299","0.12","0","50","Technology","8","4","0.93","MTSI","52.2","72","[object Object]","9","[object Object]","D","37"
"19.15","80","347.55","Praxis Precision Medicines, Inc","43","0","Biotechnology","9640651776","356","300","9.11","100","50","Healthcare","8","3","72.84","PRAX","52.2","72","[object Object]","9","[object Object]","C","55"
"0.25","30","13.96","Kayne Anderson MLP/Midstream In","55","20","Asset Management","2360999424","14.05","301","3","100","50","Financial Services","3.56","4","10.69","KYN","52.1","72","[object Object]","9","[object Object]","C","50"
"11.73","40","393.58","Woodward, Inc.","29","75","Aerospace & Defense","23613534208","402.98","302","1.03","0","50","Industrials","5.96","4","6.14","WWD","52.1","72","[object Object]","9","[object Object]","D","32"
"17.44","55","425.47","Dycom Industries, Inc.","29","65","Engineering & Construction","12750110720","445.53","303","0.15","0","50","Industrials","8","4","1.19","DY","51.9","72","[object Object]","9","[object Object]","D","32"
"0.52","75","13.64","Varex Imaging Corporation","33","10","Medical Devices","571781056","14.56","304","4.59","100","50","Healthcare","7.61","4","34.9","VREX","51.9","72","[object Object]","9","[object Object]","C","47"
"24.35","30","442.34","Argan, Inc.","29","40","Engineering & Construction","6136763904","459.75","305","3","100","50","Industrials","8","4","24","AGX","51.9","72","[object Object]","9","[object Object]","D","32"
"1.37","65","42.62","Devon Energy Corporation","24","35","Oil & Gas E&P","26435663872","46.15","306","2.3","70","50","Energy","6.42","4","14.8","DVN","51.9","72","[object Object]","9","[object Object]","D","32"
"7.26","50","116.51","Nextpower Inc.","33","65","Solar","17521317888","131.59","307","0.56","0","50","Technology","8","4","4.49","NXT","51.9","72","[object Object]","9","[object Object]","C","47"
"0.36","60","16.9","Great Lakes Dredge & Dock Corpo","44","50","Engineering & Construction","1150776576","16.99","308","1.25","0","50","Industrials","4.28","4","5.33","GLDD","51.9","72","[object Object]","9","[object Object]","D","32"
"3.42","60","120.31","The Bank of New York Mellon Cor","24","50","Banks - Diversified","83898073088","128.76","309","1.98","40","50","Financial Services","5.68","4","11.24","BK","51.9","72","[object Object]","9","[object Object]","D","32"
"4.99","65","158.22","TD SYNNEX Corporation","24","35","Electronics & Computer Distribution","12772966400","175.56","310","2.16","70","50","Technology","6.3","4","13.59","SNX","51.9","72","[object Object]","9","[object Object]","D","32"
"2.69","65","95.88","US Foods Holding Corp.","24","35","Food Distribution","21375621120","102.13","311","2.66","70","50","Consumer Defensive","5.61","4","14.94","USFD","51.9","72","[object Object]","9","[object Object]","D","32"
"0.33","30","59.44","TXNM Energy, Inc.","56","30","Utilities - Regulated Electric","6474285568","59.52","312","2.06","70","50","Utilities","1.1","4","2.27","TXNM","51.8","72","[object Object]","9","[object Object]","C","53"
"1.02","80","17.62","Definium Therapeutics, Inc.","41","0","Biotechnology","1713002240","18.47","313","9.75","100","50","Healthcare","8","4","77.96","DFTX","51.8","72","[object Object]","9","[object Object]","C","52"
"6.27","55","230.14","Targa Resources, Inc.","53","45","Oil & Gas Midstream","49524252672","233.28","314","0.38","0","50","Energy","5.45","4","2.05","TRGP","51.7","72","[object Object]","9","[object Object]","C","47"
"1.1","35","27.84","APA Corporation","33","45","Oil & Gas E&P","9960775680","30.08","315","3","70","50","Energy","7.93","4","23.8","APA","51.7","72","[object Object]","9","[object Object]","C","47"
"1.89","55","45.64","American Public Education, Inc.","53","45","Education & Training Services","825400768","46.06","316","0.14","0","50","Consumer Defensive","8","4","1.15","APEI","51.7","72","[object Object]","9","[object Object]","C","47"
"2.11","75","27.62","Kodiak Sciences Inc","32","10","Biotechnology","1686157696","28.85","317","3.57","100","50","Healthcare","8","4","28.53","KOD","51.7","72","[object Object]","9","[object Object]","D","37"
"4.96","65","114.21","Sphere Entertainment Co.","32","40","Entertainment","4054697216","118.14","318","1.61","40","50","Communication Services","8","4","12.86","SPHR","51.7","72","[object Object]","9","[object Object]","D","37"
"0.45","65","10.69","ADTRAN Holdings, Inc.","29","30","Communication Equipment","856439936","10.95","319","2.31","70","50","Technology","8","4","18.49","ADTN","51.6","72","[object Object]","9","[object Object]","D","32"
"4.83","60","233.02","AMETEK, Inc.","29","45","Specialty Industrial Machinery","53642108928","239.94","320","1.58","40","50","Industrials","4.14","4","6.55","AME","51.6","72","[object Object]","9","[object Object]","D","32"
"2.19","35","104.42","Donaldson Company, Inc.","24","40","Specialty Industrial Machinery","12095122432","112.84","321","3","100","50","Industrials","4.19","4","12.56","DCI","51.6","72","[object Object]","9","[object Object]","D","32"
"1.3","35","61.3","Bristol-Myers Squibb Company","55","55","Drug Manufacturers - General","124835840000","62.12","322","0.18","0","50","Healthcare","4.26","4","0.75","BMY","51.6","72","[object Object]","9","[object Object]","C","50"
"0.13","35","13.37","Nuveen AMT-Free Municipal Credi","55","15","Asset Management","2854793984","13.51","323","3","100","50","Financial Services","2","4","5.99","NVG","51.6","72","[object Object]","9","[object Object]","C","50"
"1.21","30","26.85","Park Aerospace Corp.","24","55","Aerospace & Defense","535007680","28.37","324","3","70","50","Industrials","8","4","24","PKE","51.6","72","[object Object]","9","[object Object]","D","32"
"5.22","60","157.11","Toll Brothers, Inc.","24","65","Residential Construction","14925921280","168.36","325","1.39","0","50","Consumer Cyclical","6.65","4","9.22","TOL","51.6","72","[object Object]","9","[object Object]","D","32"
"5.53","65","226.18","Cardinal Health, Inc.","29","30","Medical Distribution","53223776256","230.81","326","2.05","70","50","Healthcare","4.89","4","10","CAH","51.6","72","[object Object]","9","[object Object]","D","32"
"0.62","45","22.31","First BanCorp. New","40","45","Banks - Regional","3523572736","23.43","327","1.89","40","50","Financial Services","5.53","4","10.46","FBP","51.6","72","[object Object]","9","[object Object]","C","50"
"6.44","60","274.23","Apple Inc.","29","55","Consumer Electronics","4030612373504","280.88","328","1.46","0","63.6","Technology","4.7","4","6.87","AAPL","51.6","77","[object Object]","9","[object Object]","D","32"
"10.09","45","195.87","Albemarle Corporation","41","20","Specialty Chemicals","23082733568","206","329","3","100","50","Basic Materials","8","3","24","ALB","51.5","72","[object Object]","9","[object Object]","C","52"
"1.67","65","34.68","Lincoln Educational Services Co","32","55","Education & Training Services","1096555136","36.42","330","0.91","0","50","Consumer Defensive","8","3","7.27","LINC","51.5","72","[object Object]","9","[object Object]","D","37"
"5.6","55","306.52","Ecolab Inc.","46","50","Specialty Chemicals","86817390592","309.27","331","1.37","0","50","Basic Materials","3.65","4","5","ECL","51.5","72","[object Object]","9","[object Object]","D","35"
"0.57","60","19.05","OceanFirst Financial Corp.","26","35","Banks - Regional","1093290240","20.39","332","2.59","70","50","Financial Services","5.98","4","15.49","OCFC","51.5","72","[object Object]","9","[object Object]","D","35"
"1.14","45","39.59","Renasant Corporation","24","45","Banks - Regional","3761896704","42.11","333","2.13","70","50","Financial Services","5.75","4","12.22","RNST","51.4","72","[object Object]","9","[object Object]","D","32"
"12.33","60","377.07","Ralph Lauren Corporation","29","60","Apparel Manufacturing","22865774592","389.15","334","1.12","0","50","Consumer Cyclical","6.54","4","7.34","RL","51.4","72","[object Object]","9","[object Object]","D","32"
"1.54","45","39.78","Live Oak Bancshares, Inc.","33","50","Banks - Regional","1831168768","42.89","335","1.62","40","50","Financial Services","7.73","4","12.49","LOB","51.4","72","[object Object]","9","[object Object]","C","47"
"2.19","45","60.19","Madison Square Garden Entertain","33","50","Leisure","2845367808","65.26","336","1.94","40","50","Consumer Cyclical","7.29","4","14.16","MSGE","51.4","72","[object Object]","9","[object Object]","C","47"
"1.54","65","51.56","Fifth Third Bancorp","24","45","Banks - Regional","46406500352","55.44","337","1.88","40","50","Financial Services","5.96","4","11.18","FITB","51.4","72","[object Object]","9","[object Object]","D","32"
"4.17","45","149.92","Wintrust Financial Corporation","24","45","Banks - Regional","10040879104","162.96","338","2.7","70","50","Financial Services","5.56","4","15.01","WTFC","51.4","72","[object Object]","9","[object Object]","D","32"
"1.06","55","43.06","United Bankshares, Inc.","33","60","Banks - Regional","6001929216","45.93","339","1.3","0","50","Financial Services","4.91","4","6.36","UBSI","51.4","72","[object Object]","9","[object Object]","C","47"
"0.22","60","10.65","Apollo Commercial Real Estate F","38","25","REIT - Mortgage","1486729088","11.21","340","2.18","70","50","Real Estate","4.09","4","8.92","ARI","51.4","72","[object Object]","9","[object Object]","C","47"
"2.35","45","81.73","Independent Bank Corp.","33","50","Banks - Regional","4051950080","87","341","1.76","40","50","Financial Services","5.75","4","10.12","INDB","51.4","72","[object Object]","9","[object Object]","C","47"
"1.56","45","48.5","Glacier Bancorp, Inc.","24","45","Banks - Regional","6303628288","53.99","342","2.56","70","50","Financial Services","6.44","4","16.49","GBCI","51.4","72","[object Object]","9","[object Object]","D","32"
"2.74","70","99.75","Hasbro, Inc.","24","30","Leisure","13998618624","106.25","343","2.55","70","50","Consumer Cyclical","5.5","4","14","HAS","51.4","72","[object Object]","9","[object Object]","D","32"
"0.81","65","21.58","Healthcare Services Group, Inc.","24","45","Medical Care Facilities","1520429952","22.98","344","1.79","40","50","Healthcare","7.54","4","13.53","HCSG","51.4","72","[object Object]","9","[object Object]","D","32"
"0.6","55","21.23","Fulton Financial Corporation","33","60","Banks - Regional","3819173632","22.99","345","1.48","0","50","Financial Services","5.64","4","8.34","FULT","51.4","72","[object Object]","9","[object Object]","C","47"
"7.66","70","280.76","Applied Industrial Technologies","26","40","Industrial Distribution","10589681664","296.16","346","1.85","40","50","Industrials","5.46","4","10.12","AIT","51.3","72","[object Object]","9","[object Object]","D","35"
"0.17","20","14.76","Eaton Vance Corporation Eaton V","65","15","Asset Management","1723297408","14.77","347","3","100","50","Financial Services","2.28","4","6.83","ETV","51.3","72","[object Object]","9","[object Object]","B","68"
"0.98","40","49.99","Northwest Natural Holding Compa","46","30","Utilities - Regulated Gas","2074936960","50.94","348","2.21","70","50","Utilities","3.93","4","8.69","NWN","51.3","72","[object Object]","9","[object Object]","D","35"
"1.33","30","40.03","Kennametal Inc.","32","35","Tools & Accessories","3050237440","41.74","349","3","100","50","Industrials","6.65","4","19.96","KMT","51.2","72","[object Object]","9","[object Object]","D","37"
"0.81","45","38.56","Stag Industrial, Inc.","32","50","REIT - Industrial","7520575488","39.98","350","1.73","40","50","Real Estate","4.19","4","7.27","STAG","51.2","72","[object Object]","9","[object Object]","D","38"
"22.09","50","1011.8","Parker-Hannifin Corporation","29","65","Specialty Industrial Machinery","127705882624","1034.96","351","0.44","0","50","Industrials","4.37","4","1.94","PH","51.1","72","[object Object]","9","[object Object]","D","32"
"1.82","70","40.86","Resideo Technologies, Inc.","29","25","Industrial Distribution","6117352448","42.95","352","2.49","70","50","Industrials","8","4","19.92","REZI","51.1","72","[object Object]","9","[object Object]","D","32"
"0.88","60","33.67","United Community Banks, Inc.","24","35","Banks - Regional","4027375360","36.77","353","2.07","70","50","Financial Services","5.25","4","10.88","UCB","51.1","72","[object Object]","9","[object Object]","D","32"
"1.43","60","56.05","U.S. Bancorp","24","35","Banks - Regional","87157751808","61.19","354","2.75","70","50","Financial Services","5.12","4","14.1","USB","51.1","72","[object Object]","9","[object Object]","D","32"
"0.31","30","18.44","Royce Value Trust, Inc.","44","25","Asset Management","2205937664","18.73","355","3","100","50","Financial Services","3.36","4","10.08","RVT","51.1","72","[object Object]","9","[object Object]","D","32"
"2.96","65","81.99","UL Solutions Inc.","29","40","Specialty Business Services","16480993280","85.46","356","1.9","40","50","Industrials","7.21","4","13.74","ULS","51.1","72","[object Object]","9","[object Object]","D","32"
"1.89","65","64.66","Atmus Filtration Technologies I","29","40","Auto Parts","5270345728","66.5","357","1.83","40","50","Consumer Cyclical","5.86","4","10.73","ATMU","51.1","72","[object Object]","9","[object Object]","D","32"
"0.43","60","22.97","Capital Southwest Corporation","40","50","Asset Management","1381921536","23.64","358","1.49","0","50","Financial Services","3.75","4","5.57","CSWC","51.1","72","[object Object]","9","[object Object]","C","50"
"1.96","30","88.13","National Health Investors, Inc.","31","35","REIT - Healthcare Facilities","4198381312","91.38","359","3","100","50","Real Estate","4.46","4","13.37","NHI","51","72","[object Object]","9","[object Object]","D","35"
"6.56","45","219.25","J.B. Hunt Transport Services, I","26","30","Integrated Freight & Logistics","20876621824","234.82","360","3","100","50","Industrials","5.98","4","17.94","JBHT","51","72","[object Object]","9","[object Object]","D","35"
"1.9","35","49.89","Southwest Airlines Company","27","35","Airlines","25800865792","55.11","361","3","100","50","Industrials","7.63","4","22.9","LUV","51","72","[object Object]","9","[object Object]","D","37"
"1.12","50","29.59","Calumet, Inc","47","10","Specialty Chemicals","2567060224","29.92","362","3","100","50","Basic Materials","7.54","4","22.62","CLMT","51","72","[object Object]","9","[object Object]","D","37"
"8.13","50","197.57","Boot Barn Holdings, Inc.","24","40","Apparel Retail","6022651904","210.25","363","2.58","70","50","Consumer Cyclical","8","4","20.61","BOOT","50.9","72","[object Object]","9","[object Object]","D","32"
"2.11","45","22.6","Energy Fuels Inc","53","20","Uranium","5442700800","23.61","364","2.24","70","50","Energy","8","2","17.92","UUUU","50.9","72","[object Object]","9","[object Object]","B","72"
"15.02","30","300.74","Installed Building Products, In","24","40","Residential Construction","8112568320","349","365","3","100","50","Consumer Cyclical","8","4","24","IBP","50.9","72","[object Object]","9","[object Object]","D","32"
"0.65","65","31.84","COPT Defense Properties","31","25","REIT - Office","3680977664","32.82","366","2.54","70","50","Real Estate","4.06","4","10.32","CDP","50.8","72","[object Object]","9","[object Object]","D","35"
"0.81","80","15.76","KalVista Pharmaceuticals, Inc.","36","0","Biotechnology","796609600","16.59","367","14.47","100","50","Healthcare","8","4","115.74","KALV","50.8","72","[object Object]","9","[object Object]","C","52"
"0.49","55","30.1","Brixmor Property Group Inc.","55","40","REIT - Retail","9228351488","30.11","368","1.29","0","50","Real Estate","3.29","4","4.24","BRX","50.8","72","[object Object]","9","[object Object]","C","50"
"0.61","45","11.14","Tetra Technologies, Inc.","36","45","Conglomerates","1489938432","12.54","369","1.81","40","50","Industrials","8","4","14.45","TTI","50.8","72","[object Object]","9","[object Object]","C","52"
"0.51","30","12","NGL ENERGY PARTNERS LP","36","30","Oil & Gas Midstream","1491238912","13","370","3","100","50","Energy","8","4","24","NGL","50.8","72","[object Object]","9","[object Object]","C","52"
"1.21","45","33.36","Dime Community Bancshares, Inc.","33","35","Banks - Regional","1464315392","36.86","371","2.17","70","50","Financial Services","7.24","4","15.71","DCOM","50.7","72","[object Object]","9","[object Object]","C","47"
"0.44","45","18.88","California BanCorp","33","35","Banks - Regional","612055232","20.36","372","2.98","70","50","Financial Services","4.66","4","13.88","BCAL","50.7","72","[object Object]","9","[object Object]","C","47"
"0.17","35","10.85","Kennedy-Wilson Holdings Inc.","44","20","Real Estate Services","1496262784","10.95","373","3","100","50","Real Estate","3.06","4","9.17","KW","50.6","72","[object Object]","9","[object Object]","D","32"
"2.03","65","38.53","Par Pacific Holdings, Inc. Comm","24","30","Oil & Gas Refining & Marketing","1957889920","44.27","374","2.56","70","50","Energy","8","4","20.5","PARR","50.6","72","[object Object]","9","[object Object]","D","32"
"18.4","30","647.5","Lockheed Martin Corporation","29","75","Aerospace & Defense","149830074368","669.75","375","0.27","0","50","Industrials","5.68","4","1.56","LMT","50.6","72","[object Object]","9","[object Object]","D","32"
"2.12","40","78.22","Bank of Hawaii Corporation","40","60","Banks - Regional","3111990016","80.61","376","1.17","0","50","Financial Services","5.42","4","6.32","BOH","50.6","72","[object Object]","9","[object Object]","C","50"
"3.63","50","201.53","Ross Stores, Inc.","44","50","Apparel Retail","65542848512","204.85","377","1.16","0","50","Consumer Cyclical","3.61","4","4.17","ROST","50.4","72","[object Object]","9","[object Object]","D","32"
"4.42","60","208.25","Welltower Inc.","29","40","REIT - Healthcare Facilities","145306959872","216.43","378","1.97","40","50","Real Estate","4.25","4","8.36","WELL","50.4","72","[object Object]","9","[object Object]","D","32"
"2.93","60","73.65","Interactive Brokers Group, Inc.","24","60","Capital Markets","125200400384","79.18","379","1.2","0","50","Financial Services","7.96","4","9.53","IBKR","50.4","72","[object Object]","9","[object Object]","D","32"
"3.97","75","103.24","Revolution Medicines, Inc.","53","0","Biotechnology","19958337536","107.45","380","2.79","70","50","Healthcare","7.69","3","21.48","RVMD","50.4","72","[object Object]","9","[object Object]","B","72"
"0.19","30","12.99","Cohen & Steers Quality Income R","40","25","Asset Management","1746264320","13.39","381","3","100","50","Financial Services","2.86","4","8.59","RQI","50.3","72","[object Object]","9","[object Object]","C","50"
"0.06","35","14.34","Amicus Therapeutics, Inc.","92","20","Biotechnology","4498514944","14.37","382","1.35","0","50","Healthcare","0.82","4","1.12","FOLD","50.2","72","[object Object]","9","[object Object]","A","87"
"1.88","55","83.47","The Cooper Companies, Inc.","42","20","Medical Instruments & Supplies","16594581504","89.83","383","2","70","50","Healthcare","4.51","4","9.02","COO","50.2","72","[object Object]","9","[object Object]","B","62"
"4.51","80","104.53","Nuvalent, Inc.","33","0","Biotechnology","8117508608","113.01","384","4.56","100","50","Healthcare","8","4","36.47","NUVL","50.2","72","[object Object]","9","[object Object]","C","47"
"4.03","55","131.62","State Street Corporation","38","35","Asset Management","36763103232","137.05","385","1.57","40","50","Financial Services","6.12","4","9.63","STT","50.2","72","[object Object]","9","[object Object]","C","47"
"1.39","65","40.57","NCR Atleos Corporation","24","40","Software - Application","2998290688","43.42","386","1.6","40","50","Technology","6.84","4","10.92","NATL","50.1","72","[object Object]","9","[object Object]","D","32"
"1.14","70","36.91","HA Sustainable Infrastructure C","24","25","Asset Management","4731292672","40.01","387","2.94","70","50","Financial Services","6.17","4","18.13","HASI","50.1","72","[object Object]","9","[object Object]","D","32"
"1.27","75","27.23","Immunovant, Inc.","24","10","Biotechnology","5542180864","29.25","388","6.38","100","50","Healthcare","8","4","51.03","IMVT","50.1","72","[object Object]","9","[object Object]","D","32"
"0.28","50","15.2","Whitestone REIT","55","40","REIT - Retail","785279488","15.37","389","0.44","0","50","Real Estate","3.64","4","1.61","WSR","50.1","72","[object Object]","9","[object Object]","C","50"
"2.38","65","84.03","GE HealthCare Technologies Inc.","24","40","Medical Devices","38296653824","89.73","390","1.94","40","50","Healthcare","5.67","4","10.97","GEHC","50.1","72","[object Object]","9","[object Object]","D","32"
"7.01","40","108.86","TTM Technologies, Inc.","44","55","Electronic Components","11256660992","113.46","391","1.11","0","50","Technology","8","2","8.86","TTMI","50.1","72","[object Object]","9","[object Object]","C","57"
"0.95","45","47.49","Omega Healthcare Investors, Inc","46","50","REIT - Healthcare Facilities","14426512384","47.94","392","0.73","0","50","Real Estate","3.99","4","2.92","OHI","50","72","[object Object]","9","[object Object]","D","35"
"3.35","35","51.37","Moderna, Inc.","53","10","Biotechnology","20071987200","54.02","393","3","100","50","Healthcare","8","2","24","MRNA","50","72","[object Object]","9","[object Object]","B","72"
"0.34","35","14.43","Ford Motor Company","53","10","Auto Manufacturers","57568129024","14.49","394","3","100","50","Consumer Cyclical","4.73","4","14.2","F","50","72","[object Object]","9","[object Object]","C","47"
